,,,,,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
11,MIC,Middle income,AG.LND.ARBL.ZS,Arable land (% of land area),7.32365,7.34838,7.41597,7.46449,7.50071,7.53671,7.57295,7.61886,7.70333,7.71523,7.73363,7.79807,7.84923,7.90229,7.91910,7.94517,8.00411,7.98008,8.00203,7.98183,8.01318,8.05250,8.22315,8.26491,8.45136,8.47589,8.51056,8.54556,8.54862,8.55793,9.43707,11.4141,11.4345,11.4228,11.4602,11.3904,11.3656,11.3738,11.4086,11.3800,11.3270,11.3314,11.3785,11.4379,11.4910,11.5220,11.5585
12,MNA,Middle East & North Africa,AG.LND.ARBL.ZS,Arable land (% of land area),5.53292,5.52216,5.53524,5.56626,5.60678,5.58039,5.60146,5.57923,5.59220,5.61118,5.78507,5.80441,5.87945,5.85352,5.78197,5.76553,5.69167,5.61897,5.71540,5.43802,5.52862,5.60682,5.58609,5.64410,5.67185,5.71098,5.76553,5.77514,5.80603,5.85192,6.05385,6.14303,6.23036,6.19030,6.20211,6.18587,6.13751,6.18020,6.09737,5.82457,5.90023,5.96282,6.02342,5.95930,5.96374,5.93183,5.97366
13,NOC,High income: nonOECD,AG.LND.ARBL.ZS,Arable land (% of land area),0.865048,0.866552,1.29594,1.29315,1.30526,0.896336,0.897050,1.31111,0.917959,0.930068,1.34252,1.35569,1.37336,0.995127,1.01453,1.43684,1.05823,1.07722,1.49748,1.50732,1.52293,1.13641,1.21144,1.67850,1.34953,1.41255,1.89225,1.95352,2.00416,1.67854,2.14678,2.65023,2.57708,2.54346,2.51360,2.35401,2.45159,2.49232,2.46032,2.47750,2.43260,2.41515,2.29236,2.24446,2.26827,2.24282,2.22830
14,OEC,High income: OECD,AG.LND.ARBL.ZS,Arable land (% of land area),11.8514,11.8025,11.9141,11.8092,11.9406,11.9610,11.9605,12.0707,12.4173,12.3726,12.2582,12.1050,12.1665,12.2097,12.2019,12.1099,12.1683,12.3050,12.3534,12.2610,12.3413,12.4198,12.3532,12.3532,12.4363,12.4282,12.3727,12.2515,12.3769,12.3793,12.2715,12.2575,12.1332,12.1108,11.8344,11.6281,11.6951,11.7912,11.7694,11.8384,11.8969,11.8172,11.7928,11.7394,11.7152,11.5768,11.4362
15,SAS,South Asia,AG.LND.ARBL.ZS,Arable land (% of land area),40.0072,40.2623,40.5080,40.8795,41.1181,41.2975,41.4692,41.5228,41.5234,41.6842,41.4885,41.6527,41.9532,42.1410,42.3617,42.3945,42.4905,42.5603,42.5509,42.4677,42.4591,42.5158,42.4064,42.5175,42.5606,42.5850,42.6607,42.7952,42.6609,42.5900,42.4432,42.2159,42.2602,42.3351,42.2920,42.2618,42.3357,42.3680,42.2023,42.5563,42.0260,41.9571,42.2244,41.9059,41.9671,41.9095,41.9242
16,SSA,Sub-Saharan Africa,AG.LND.ARBL.ZS,Arable land (% of land area),5.23027,5.25206,5.32715,5.36751,5.39943,5.42114,5.44756,5.51043,5.55194,5.57000,5.59701,5.61778,5.62597,5.60910,5.66211,5.69658,5.70926,5.77638,5.80182,5.82022,5.82047,5.85973,5.89810,5.94059,6.05371,6.09789,6.12282,6.18807,6.23970,6.32464,6.41112,6.49476,7.06069,7.11112,7.26081,7.27128,7.29972,7.40715,7.43686,7.44928,7.55061,7.66886,7.84414,7.94009,8.19211,8.25346,8.30820
17,UMC,Upper middle income,AG.LND.ARBL.ZS,Arable land (% of land area),3.37624,3.43053,3.50200,3.53861,3.56550,3.61238,3.64796,3.73422,3.82177,3.86885,3.92151,3.97446,4.00501,4.04321,4.07493,4.11351,4.13997,4.14265,4.17327,4.16819,4.17852,4.20331,4.18693,4.21665,4.23440,4.28427,4.30834,4.30990,4.30534,4.31919,5.11124,8.31698,8.28135,8.26822,8.28886,8.19723,8.17515,8.07733,7.99490,7.96941,7.94120,7.92920,7.88964,7.92524,7.91224,7.89775,7.88898
18,WLD,World,AG.LND.ARBL.ZS,Arable land (% of land area),8.04668,8.04164,8.12882,8.14884,8.20595,8.21578,8.24043,8.32166,8.44816,8.43743,8.42682,8.44230,8.48576,8.50669,8.52248,8.54111,8.58388,8.60526,8.64090,8.62083,8.65940,8.68897,8.78176,8.82954,8.97290,8.98348,9.00573,9.02152,9.06086,9.06231,9.59212,10.7927,10.8595,10.8481,10.8179,10.7372,10.7543,10.7917,10.8160,10.8218,10.8226,10.8089,10.8581,10.8834,10.9321,10.9295,10.9249
19,AFG,Afghanistan,AG.LND.ARBL.ZS,Arable land (% of land area),11.7290,11.8057,11.8823,11.9590,11.9590,12.0126,12.0264,12.0264,12.0510,12.0663,12.1123,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1276,12.1491,12.3469,12.3285,12.2610,12.3193,12.4297,12.0356,11.8103,11.3902,11.3135,13.4324,12.1644,12.8559,13.0767,13.0797
20,ALB,Albania,AG.LND.ARBL.ZS,Arable land (% of land area),15.7664,15.9124,16.0584,16.1679,16.7883,17.3358,17.8102,18.2482,18.6131,19.0146,19.3431,19.7080,20,20.3285,20.5475,20.9854,21.1679,21.2774,21.2774,21.3504,21.4599,21.4964,21.4964,21.4964,21.4964,21.4964,21.5329,21.5329,21.2409,21.1314,21.0949,21.0949,21.0584,21.0584,21.0584,21.0584,21.0949,21.0584,21.0584,21.0949,21.0949,21.0949,21.0949,21.0949,19.6350,21.3139,21.0949
21,DZA,Algeria,AG.LND.ARBL.ZS,Arable land (% of land area),2.71734,2.64513,2.60314,2.57459,2.60440,2.61196,2.64555,2.62119,2.61699,2.62329,2.67871,2.73330,2.73414,2.74757,2.87395,2.97766,2.89872,2.89368,2.87437,2.88655,2.89074,2.88906,2.76773,2.90334,2.90124,2.92517,2.96800,2.98143,2.99319,2.97304,3.04819,3.17499,3.16281,3.13930,3.15694,3.15778,3.21194,3.21656,3.22159,3.21698,3.18381,3.16869,3.15051,3.14602,3.15358,3.13636,3.13594
22,ASM,American Samoa,AG.LND.ARBL.ZS,Arable land (% of land area),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10
23,ADO,Andorra,AG.LND.ARBL.ZS,Arable land (% of land area),2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766
24,AGO,Angola,AG.LND.ARBL.ZS,Arable land (% of land area),2.14165,2.16572,2.18176,2.20582,2.22187,2.24593,2.26999,2.29406,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.32614,2.36625,2.40635,2.40635,2.40635,2.40635,2.40635,2.40635,2.40635,2.40635,2.40635,2.40635,2.48657,2.64699,2.64699,2.64699,2.64699,2.64699
25,ATG,Antigua and Barbuda,AG.LND.ARBL.ZS,Arable land (% of land area),18.1818,15.9091,18.1818,15.9091,18.1818,18.1818,15.9091,15.9091,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818,18.1818
26,ARG,Argentina,AG.LND.ARBL.ZS,Arable land (% of land area),6.79544,7.00847,7.16194,7.30810,7.47655,7.89567,8.16351,8.71527,9.46289,9.50053,9.50053,9.50053,9.50053,9.50053,9.50053,9.50053,9.50053,9.50053,9.50053,9.50053,9.50053,9.86593,9.86593,9.86593,9.86593,9.86593,9.79285,9.63463,9.64669,9.64669,9.64669,9.86593,9.86593,9.86593,9.86593,10.0486,10.0486,10.0486,10.1583,10.1948,10.2313,10.2785,10.4871,11.1449,11.1449,11.5103,11.8757
27,ARM,Armenia,AG.LND.ARBL.ZS,Arable land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15.3546,15.4255,15.5319,15.4965,15.9929,16.2057,16.2057,15.6738,15.6738,15.7447,15.6383,15.2482,15.2482,14.2553,14.3972
28,ABW,Aruba,AG.LND.ARBL.ZS,Arable land (% of land area),11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111
29,AUS,Australia,AG.LND.ARBL.ZS,Arable land (% of land area),3.92916,4.17883,4.30001,4.60539,4.81184,5.15653,5.37313,5.38771,5.40203,5.41687,5.35126,5.28696,5.23489,5.48286,5.49653,5.47701,5.34827,5.53454,5.71860,5.73149,5.59910,6.03647,5.83380,6.12837,6.13749,6.09362,6.11028,6.11796,6.20908,6.23511,5.94874,6.14399,6.02684,6.15701,5.21940,4.72307,5.18998,5.73461,5.92661,6.15753,6.48335,6.22197,6.12317,6.21468,6.43063,6.21103,5.75088
30,AUT,Austria,AG.LND.ARBL.ZS,Arable land (% of land area),20.4851,20.3881,20.0849,20.0970,20.1334,19.5998,19.4057,19.4178,19.2238,19.2359,19.2480,19.2602,18.3626,18.3626,18.3263,18.4354,18.5446,18.7629,18.4718,18.6295,18.7871,18.6173,17.4530,17.5258,17.5622,17.4530,17.4530,17.6834,17.6956,17.2953,17.5258,17.4166,17.2104,17.2590,17.1498,17.1013,17.0528,17.0285,17.0043,16.9679,16.8223,16.7981,16.8223,16.8102,16.8223,16.7738,16.7617
31,AZE,Azerbaijan,AG.LND.ARBL.ZS,Arable land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4826,20.6184,20.7121,20.7446,21.4475,21.6446,21.7795,22.0652,22.1004,22.2229,22.2385,22.2439,22.2651,22.2986,22.2818,22.4376
32,BHS,Bahamas The,AG.LND.ARBL.ZS,Arable land (% of land area),0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.699301,0.799201,0.799201,0.799201,0.799201,0.799201,0.799201,0.799201,0.799201,0.799201,0.599401,0.599401,0.599401,0.599401,0.599401,0.599401,0.699301,0.799201,0.799201,0.799201,0.799201,0.799201,0.799201,0.799201
33,BHR,Bahrain,AG.LND.ARBL.ZS,Arable land (% of land area),1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,1.44928,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.89855,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690,2.81690
34,BGD,Bangladesh,AG.LND.ARBL.ZS,Arable land (% of land area),66.1059,66.0444,66.1059,66.3747,67.4272,67.5885,67.9342,67.8267,67.6807,67.8882,67.8882,68.0188,68.0495,68.1801,68.1340,68.0956,68.0495,68.1878,68.3184,68.3107,68.3414,68.0341,68.0341,68.0418,68.0648,68.2492,68.8945,70.5155,70.6154,70.1928,67.8113,61.5196,60.7206,59.7987,59.9063,60.2289,60.5055,61.1662,61.7654,62.1034,61.8806,61.4351,61.2584,61.1124,61.1739,61.2276,61.2276
35,BRB,Barbados,AG.LND.ARBL.ZS,Arable land (% of land area),37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093,37.2093
36,BLR,Belarus,AG.LND.ARBL.ZS,Arable land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9941,30.0927,30.6892,30.7237,30.7139,30.4427,30.5019,30.4772,30.2357,28.4017,27.6882,27.4565,27.3557,27.3234,27.3041,27.2795
37,BEL,Belgium,AG.LND.ARBL.ZS,Arable land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4676,27.9062,27.4769,27.5760,27.7411,27.8402,27.8071,27.7411
38,BLZ,Belize,AG.LND.ARBL.ZS,Arable land (% of land area),1.57826,1.57826,1.62210,1.62210,1.62210,1.66594,1.66594,1.66594,1.70978,1.70978,1.75362,1.75362,1.79746,1.79746,1.84130,1.84130,1.88514,1.88514,1.88514,1.97282,2.01666,2.01666,2.01666,2.01666,1.88514,1.92898,2.14818,2.19202,2.27970,2.27970,2.36738,2.45506,2.63043,2.63043,2.71811,2.76195,2.80579,2.80579,2.80579,2.80579,2.84963,3.06883,3.06883,3.06883,3.06883,3.06883,3.06883
39,BEN,Benin,AG.LND.ARBL.ZS,Arable land (% of land area),8.31676,8.49756,8.67836,8.85916,9.03996,9.31116,9.67275,9.94395,10.6672,10.8480,11.3000,11.5711,11.7519,12.0231,12.3847,12.6559,12.9271,13.1079,13.2887,13.5599,13.8311,14.0119,14.1023,14.1927,14.2831,14.3735,14.4639,14.5543,14.6447,14.5995,14.6447,14.7351,14.9159,15.3679,16.1815,17.6279,18.9839,20.3399,20.7919,21.5151,22.1479,23.0519,23.9559,24.8599,24.8599,24.4079,24.4079
40,BMU,Bermuda,AG.LND.ARBL.ZS,Arable land (% of land area),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
41,BTN,Bhutan,AG.LND.ARBL.ZS,Arable land (% of land area),2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.12766,2.34043,2.34043,2.34043,2.34043,2.44681,2.44681,2.55319,2.55319,2.55319,2.65958,2.76596,2.76596,2.87234,3.08511,3.08511,3.08511,3.08511,3.08511,2.97872,2.76596,2.76596,2.76596,2.76596,2.76596,3.24376,3.36852,3.36852,3.36852,3.36852,3.36852,3.24376,3.24376,3.11900,3.11900,3.33385,3.33385,3.33385,3.33385
42,BOL,Bolivia,AG.LND.ARBL.ZS,Arable land (% of land area),1.19450,1.19634,1.20373,1.23788,1.26927,1.30527,1.33666,1.37358,1.40958,1.44374,1.46866,1.50835,1.54897,1.57943,1.61728,1.66805,1.70313,1.73267,1.76313,1.79359,1.82775,1.86283,1.89329,1.93206,1.89237,1.90160,1.91083,1.92006,1.92929,1.93852,1.94775,1.98468,2.03083,2.16930,2.30776,2.39084,2.63916,2.73239,2.76932,2.76932,2.76932,2.86163,3.24379,3.30379,3.51334,3.22256,3.33149
43,BIH,Bosnia and Herzegovina,AG.LND.ARBL.ZS,Arable land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6016,16.6016,16.6016,16.6016,17.5781,17.5781,18.5547,18.5547,19.5313,19.7266,19.4727,19.8633,20.0781,20.0195,20.0586,19.9609
44,BWA,Botswana,AG.LND.ARBL.ZS,Arable land (% of land area),0.704039,0.704039,0.704039,0.704039,0.705804,0.705804,0.705804,0.705804,0.705804,0.705804,0.705804,0.707568,0.707568,0.707568,0.707568,0.707568,0.707568,0.707568,0.711097,0.711097,0.711097,0.714626,0.714626,0.714626,0.718155,0.718155,0.721684,0.721684,0.730507,0.741094,0.529353,0.441127,0.617578,0.696981,0.608756,0.608756,0.529353,0.405837,0.423482,0.617578,0.352902,0.432305,0.344079,0.398779,0.423482,0.423482,0.441127
45,BRA,Brazil,AG.LND.ARBL.ZS,Arable land (% of land area),2.61460,2.83707,3.07350,3.19171,3.30992,3.42813,3.54634,3.78277,3.90098,4.13740,4.37382,4.49203,4.61025,4.84667,4.96488,5.08309,5.20130,5.20130,5.30769,5.31951,5.39044,5.55594,5.55594,5.56776,5.59140,5.79236,5.85147,5.88693,5.89875,5.99107,6.14676,6.12371,6.17820,6.23506,6.86324,6.83948,6.83262,6.82080,6.82080,6.82080,6.97034,6.98630,6.98630,7.00994,7.03358,7.03358,7.03358
46,BRN,Brunei Darussalam,AG.LND.ARBL.ZS,Arable land (% of land area),0.759013,0.759013,0.759013,0.759013,0.759013,1.13852,1.13852,1.13852,1.13852,1.13852,0.759013,0.759013,0.759013,0.759013,0.759013,0.759013,0.759013,0.759013,0.759013,0.569260,0.569260,0.569260,0.569260,0.569260,0.569260,0.569260,0.569260,0.569260,0.569260,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.379507,0.569260
47,BGR,Bulgaria,AG.LND.ARBL.ZS,Arable land (% of land area),38.4344,37.5486,37.4040,37.7836,37.6661,37.6571,37.4763,37.5486,37.5847,37.4401,37.3497,37.3136,37.2413,37.0424,35.7679,35.6142,35.5871,35.4877,35.2255,34.5928,34.5657,34.5114,34.4572,34.4120,34.4391,34.5205,34.5747,34.7103,34.7826,34.8549,34.9272,36.5814,36.7260,36.1656,36.1385,37.9915,38.8502,31.9624,32.3420,31.8720,31.3387,30.8364,30.5507,30.4616,29.2066,28.5280,28.4136
48,BFA,Burkina Faso,AG.LND.ARBL.ZS,Arable land (% of land area),7.76316,7.79971,7.83626,7.85453,7.89108,7.93129,7.96784,8.00439,8.04825,8.09942,8.04094,8.34064,8.60015,8.89254,9.15936,9.32018,9.50292,9.68567,9.86842,10.0329,10.1974,10.3618,10.5080,10.6542,10.8004,10.9832,11.2208,12.8070,12.9386,12.8655,12.7741,12.6828,12.5548,12.3209,12.3904,12.7559,13.6696,14.2178,14.4006,14.7661,16.5936,16.9591,17.6901,17.6901,17.7266,18.2749,19.0059
49,BDI,Burundi,AG.LND.ARBL.ZS,Arable land (% of land area),26.2851,27.2586,28.1932,28.9720,29.4393,29.3224,30.6854,31.1527,38.6293,36.6044,36.1760,34.8910,36.2150,36.2150,36.2150,36.4097,36.6822,36.4097,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.2150,36.6044,36.6044,36.9938,36.9938,37.3832,37.3832,37.9673,38.3956,38.5514,38.3567,38.3956,38.5514,38.7461
50,KHM,Cambodia,AG.LND.ARBL.ZS,Arable land (% of land area),16.0775,16.1455,16.1455,16.4287,16.4287,16.4287,16.4401,16.1455,15.5790,15.2561,10.1971,10.1971,10.1971,10.4804,10.4804,10.7637,10.7637,11.0469,11.0469,11.3302,11.3302,11.5001,11.5568,11.5568,13.0297,14.7292,16.9952,19.5445,20.8758,20.9325,20.9608,20.9608,21.0514,20.9608,20.9608,20.9608,20.9608,20.9608,20.9608,20.9608,20.9608,20.9608,20.9608,20.9608,20.9608,21.5273,21.5273
51,CMR,Cameroon,AG.LND.ARBL.ZS,Arable land (% of land area),10.5773,10.6831,10.7889,10.8946,11.0004,11.1062,11.2120,11.3177,11.4235,11.4235,11.5293,11.5293,11.5293,11.6350,11.7408,11.8466,11.9862,11.9291,12.4770,12.5024,12.5024,12.5024,12.5024,12.5024,12.5024,12.5447,12.5447,12.5658,12.5658,12.5658,12.5870,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082,12.6082
52,CAN,Canada,AG.LND.ARBL.ZS,Arable land (% of land area),4.49145,4.53334,4.57513,4.61692,4.65882,4.70061,4.70160,4.70248,4.70347,4.70434,4.70533,4.71710,4.72898,4.74085,4.75273,4.76461,4.80299,4.84137,4.87974,4.91812,4.95650,4.96024,4.96387,4.96761,4.97124,4.97487,4.98223,4.98949,4.99675,5.00401,5.01127,5.01039,5.00940,5.00852,5.00764,5.00676,5.01446,5.02215,5.02985,5.03766,5.04536,5.02853,5.01160,4.99477,4.97784,4.96101,4.95958
53,CPV,Cape Verde,AG.LND.ARBL.ZS,Arable land (% of land area),9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.42928,9.92556,9.92556,10.1737,10.1737,10.1737,10.1737,10.1737,10.4218,10.4218,10.9181,10.9181,10.9181,10.9181,12.4070,12.4070,12.4070,12.4070,12.4070,12.4070,12.4070
